StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month,StateName_clean,DistrictName_clean,BlockName_clean,Sector_clean,Category_clean,Crop_clean,QueryType_clean,QueryText_clean,KccAns_clean,CreatedOn_clean,combined_clean_text,language,structure,chunks
MAHARASHTRA,PARBHANI,GANGAKHED,,AGRICULTURE,Fiber Crops,Cotton (Kapas),Fertilizer Use and Availability,farmer asked about fertilzer dose for cotton,डीपी दोन ते अडीच बोलून देण्यात,2025-05-04T22:02:09.183,2025,5,MAHARASHTRA,PARBHANI,GANGAKHED,AGRICULTURE,Fiber Crops,Cotton (Kapas),Fertilizer Use and Availability,farmer asked about fertilzer dose for cotton,डीपी दोन ते अडीच बोलून देण्यात,2025-05-04T22:02:09.183,MAHARASHTRA PARBHANI GANGAKHED AGRICULTURE Fiber Crops Cotton (Kapas) Fertilizer Use and Availability farmer asked about fertilzer dose for cotton डीपी दोन ते अडीच बोलून देण्यात 2025-05-04T22:02:09.183,en,Doc,['MAHARASHTRA']
MAHARASHTRA,PARBHANI,GANGAKHED,,AGRICULTURE,Others,Others,Government Schemes,Farmer asked query about parbhani agriculture university contact number ?,"वसंतराव नाईक मराठवाडा कृषी विद्यापीठ (VNMKV), परभणीचा मुख्य संपर्क क्रमांक ०२४५२-२२३८०१ आहे.",2025-05-15T19:18:36.54,2025,5,MAHARASHTRA,PARBHANI,GANGAKHED,AGRICULTURE,Others,Others,Government Schemes,Farmer asked query about parbhani agriculture university contact number ?,"वसंतराव नाईक मराठवाडा कृषी विद्यापीठ (VNMKV), परभणीचा मुख्य संपर्क क्रमांक ०२४५२-२२३८०१ आहे.",2025-05-15T19:18:36.54,"MAHARASHTRA PARBHANI GANGAKHED AGRICULTURE Others Others Government Schemes Farmer asked query about parbhani agriculture university contact number ? वसंतराव नाईक मराठवाडा कृषी विद्यापीठ (VNMKV), परभणीचा मुख्य संपर्क क्रमांक ०२४५२-२२३८०१ आहे. 2025-05-15T19:18:36.54",en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,KAIJ,,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT AGRICULTURE RELATED GOVERNMENT SCHEME INFORMATION ?,कृषी विभाग महाराष्ट्र शासन:- १८०० २३३ ४०००,2025-05-05T13:50:52.167,2025,5,MAHARASHTRA,BEED,KAIJ,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT AGRICULTURE RELATED GOVERNMENT SCHEME INFORMATION ?,कृषी विभाग महाराष्ट्र शासन:- १८०० २३३ ४०००,2025-05-05T13:50:52.167,MAHARASHTRA BEED KAIJ AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT AGRICULTURE RELATED GOVERNMENT SCHEME INFORMATION ? कृषी विभाग महाराष्ट्र शासन:- १८०० २३३ ४००० 2025-05-05T13:50:52.167,en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,ASHTI,,AGRICULTURE,Fodder Crops,Lucerne (Alfalfa),	Plant Protection	,asked about sucking pest in lucern,घासावरील रसशोषक कीड -  कॉन्फिडोर १० मिली / १५  लिटर पाणी फवारावे ,2025-05-06T17:04:05.61,2025,5,MAHARASHTRA,BEED,ASHTI,AGRICULTURE,Fodder Crops,Lucerne (Alfalfa),Plant Protection,asked about sucking pest in lucern,घासावरील रसशोषक कीड - कॉन्फिडोर १० मिली / १५ लिटर पाणी फवारावे,2025-05-06T17:04:05.61,MAHARASHTRA BEED ASHTI AGRICULTURE Fodder Crops Lucerne (Alfalfa) Plant Protection asked about sucking pest in lucern घासावरील रसशोषक कीड - कॉन्फिडोर १० मिली / १५ लिटर पाणी फवारावे 2025-05-06T17:04:05.61,en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,ASHTI,,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED ABOUT CONTACT NUMBER OF WATER RESOURCES DEPARTMENT ,BEED ?","संपर्क क्रमांक जलसंपदा विभाग, महाराष्ट्र शासन, बीड :-  02442-22235",2025-05-08T10:51:22.007,2025,5,MAHARASHTRA,BEED,ASHTI,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED ABOUT CONTACT NUMBER OF WATER RESOURCES DEPARTMENT ,BEED ?","संपर्क क्रमांक जलसंपदा विभाग, महाराष्ट्र शासन, बीड :- 02442-22235",2025-05-08T10:51:22.007,"MAHARASHTRA BEED ASHTI AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT CONTACT NUMBER OF WATER RESOURCES DEPARTMENT ,BEED ? संपर्क क्रमांक जलसंपदा विभाग, महाराष्ट्र शासन, बीड :- 02442-22235 2025-05-08T10:51:22.007",en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,KAIJ,,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about PM Kisan Sanman Nidhi Yojana STATE US ?,पी एम किसान योजनेचे स्टेटस चेक केले असता रेकॉर्ड नोट फाउंड असे दाखवत आहे,2025-05-08T11:06:53.52,2025,5,MAHARASHTRA,BEED,KAIJ,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about PM Kisan Sanman Nidhi Yojana STATE US ?,पी एम किसान योजनेचे स्टेटस चेक केले असता रेकॉर्ड नोट फाउंड असे दाखवत आहे,2025-05-08T11:06:53.52,MAHARASHTRA BEED KAIJ AGRICULTURE Others Others Government Schemes Farmer asked about PM Kisan Sanman Nidhi Yojana STATE US ? पी एम किसान योजनेचे स्टेटस चेक केले असता रेकॉर्ड नोट फाउंड असे दाखवत आहे 2025-05-08T11:06:53.52,en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,AMBAJOGAI,,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER ? ,कृषी विमा कंपनी बीड अंबेजोगाई नंदकुमार मुकुंदराव पोटभरे 9403181414,2025-05-13T14:05:17.877,2025,5,MAHARASHTRA,BEED,AMBAJOGAI,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER ?,कृषी विमा कंपनी बीड अंबेजोगाई नंदकुमार मुकुंदराव पोटभरे 9403181414,2025-05-13T14:05:17.877,MAHARASHTRA BEED AMBAJOGAI AGRICULTURE Others Others Government Schemes FARMER ASKED ABOUT PRADHANMANTRI FASAL BIMA YOJANA HELPLINE NUMBER ? कृषी विमा कंपनी बीड अंबेजोगाई नंदकुमार मुकुंदराव पोटभरे 9403181414 2025-05-13T14:05:17.877,en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,PATODA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"हवामान अंदाज- ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊस तुरळक पडेल. ",2025-05-18T11:30:07.593,2025,5,MAHARASHTRA,BEED,PATODA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"हवामान अंदाज- ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊस तुरळक पडेल.",2025-05-18T11:30:07.593,"MAHARASHTRA BEED PATODA AGRICULTURE Others Others Weather Farmer asked query on Weather हवामान अंदाज- ढगाळमय वातावरणासह सूर्यप्रकाश असेल, पाऊस तुरळक पडेल. 2025-05-18T11:30:07.593",en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,ASHTI,,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Seeds,farmer asked which bio fungicide used for seed treatment ?,जैविक पद्धतीने बीज प्रक्रिया करायची असल्यास ट्रायकोडर्मा व्हिरीडी हे जैविक बुरशीनाशक 5 ते 10 मिली प्रति किलो बियाण्यास सोडावे धन्यवाद,2025-05-19T19:36:15.627,2025,5,MAHARASHTRA,BEED,ASHTI,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Seeds,farmer asked which bio fungicide used for seed treatment ?,जैविक पद्धतीने बीज प्रक्रिया करायची असल्यास ट्रायकोडर्मा व्हिरीडी हे जैविक बुरशीनाशक 5 ते 10 मिली प्रति किलो बियाण्यास सोडावे धन्यवाद,2025-05-19T19:36:15.627,MAHARASHTRA BEED ASHTI AGRICULTURE Pulses Pigeon pea (red gram/arhar/tur) Seeds farmer asked which bio fungicide used for seed treatment ? जैविक पद्धतीने बीज प्रक्रिया करायची असल्यास ट्रायकोडर्मा व्हिरीडी हे जैविक बुरशीनाशक 5 ते 10 मिली प्रति किलो बियाण्यास सोडावे धन्यवाद 2025-05-19T19:36:15.627,en,Doc,['MAHARASHTRA']
MAHARASHTRA,BEED,MAJALGAON,,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,"Farmer asked about sugarcane spraying for new branching ?
",ऊस फवारणी - 12:61:00 - 80 ग्रॅम + सुक्ष्म अन्नद्रव्ये 30 मिली /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.,2025-05-20T18:05:44.023,2025,5,MAHARASHTRA,BEED,MAJALGAON,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Farmer asked about sugarcane spraying for new branching ?,ऊस फवारणी - 12:61:00 - 80 ग्रॅम + सुक्ष्म अन्नद्रव्ये 30 मिली /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.,2025-05-20T18:05:44.023,MAHARASHTRA BEED MAJALGAON AGRICULTURE Sugar and Starch Crops Sugarcane (Noble Cane) Nutrient Management Farmer asked about sugarcane spraying for new branching ? ऊस फवारणी - 12:61:00 - 80 ग्रॅम + सुक्ष्म अन्नद्रव्ये 30 मिली /१५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. 2025-05-20T18:05:44.023,en,Doc,['MAHARASHTRA']
